Name;Pseudomonas_brassicacearum_strain_3Re2_7_3Re2_7 ;Pseudomonas_brassicacearum_strain_51MFCVI2 ;Pseudomonas_brassicacearum_strain_BS3663_BS3663 ;Pseudomonas_brassicacearum_strain_L13_6_12_L13_6_12 ;Pseudomonas_brassicacearum_strain_LBUM300_LBUM300 ;Pseudomonas_brassicacearum_strain_NFM421_NFM421 ;Pseudomonas_brassicacearum_strain_PA1G7 ;Pseudomonas_brassicacearum_strain_PP1_210F ;Pseudomonas_brassicacearum_strain_TM1A3 
CheW-like domain protein;1;1;1;1;1;1;1;1;1
Gliding motility regulatory protein;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctC;1;1;1;1;1;1;1;1;1
Chemotaxis protein CheW;1;1;1;1;1;1;1;1;1
Response regulator PleD;1;1;1;1;1;1;1;1;1
Transcriptional regulatory protein WalR;1;1;1;1;1;1;1;1;1
Glutathione synthetase;1;1;1;1;1;1;1;1;1
transport protein TonB;1;1;1;1;1;1;1;1;1
Putative Holliday junction resolvase;1;1;1;1;1;1;1;1;1
Bifunctional protein PyrR;1;1;1;1;1;1;1;1;1
Aspartate carbamoyltransferase;1;1;1;1;1;1;1;1;1
Dihydroorotase;1;1;1;1;1;1;1;1;1
TM2 domain protein;1;1;1;1;1;1;1;1;1
Murein DD-endopeptidase MepH precursor;1;1;1;1;1;1;1;1;1
Twitching mobility protein;1;1;1;1;1;1;1;1;1
Pyrroline-5-carboxylate reductase;1;1;1;1;1;1;1;1;1
YGGT family protein;1;1;1;1;1;1;1;1;1
Homoserine O-acetyltransferase;1;1;1;1;1;1;1;1;1
dITP/XTP pyrophosphatase;1;1;1;1;1;1;1;1;1
Oxygen-independent coproporphyrinogen-III oxidase 1;1;1;1;1;1;1;1;1;1
tRNA (guanine-N(7)-)-methyltransferase;1;1;1;1;1;1;1;1;1
Thiazole synthase;1;1;1;1;1;1;1;1;1
Sulfur carrier protein ThiS;1;1;1;1;1;1;1;1;1
Penicillin-binding protein 2D;1;1;1;1;1;1;1;1;1
RNA polymerase sigma factor RpoH;1;1;1;1;1;1;1;1;1
Cell division protein FtsX;1;1;1;1;1;1;1;1;1
Cell division ATP-binding protein FtsE;1;1;1;1;1;1;1;1;1
Signal recognition particle receptor FtsY;1;1;1;1;1;1;1;1;1
Protease 3 precursor;1;1;1;1;1;1;1;1;1
Peptidase M16 inactive domain protein;1;1;1;1;1;1;1;1;1
Ribosomal RNA small subunit methyltransferase D;1;1;1;1;1;1;1;1;1
putative hydrolase;1;1;1;1;1;1;1;1;1
3-mercaptopyruvate sulfurtransferase;1;1;1;1;1;1;1;1;1
Transcriptional regulator, TetR family;1;1;1;1;1;1;1;1;1
Coniferyl aldehyde dehydrogenase;1;1;1;1;1;1;1;1;1
6-hydroxyparomomycin C oxidase;1;1;1;1;1;1;1;1;1
Phosphopantetheine adenylyltransferase;1;1;1;1;1;1;1;1;1
Ferredoxin;1;1;1;1;1;1;1;1;1
Formamidopyrimidine-DNA glycosylase;1;1;1;1;1;1;1;1;1
HDOD domain protein;1;1;1;1;1;1;1;1;1
Putative cysteine protease YraA;1;1;1;1;1;1;1;1;1
Ribosomal RNA large subunit methyltransferase I;1;1;1;1;1;1;1;1;1
Dihydroxy-acid dehydratase;1;1;1;1;1;1;1;1;1
haloacid dehalogenase-like hydrolase;1;1;1;1;1;1;1;1;1
L-cystine uptake protein TcyP;1;1;1;1;1;1;1;1;1
Dihydrofolate reductase type 3;1;1;1;1;1;1;1;1;1
putative membrane protein;1;1;1;1;1;1;1;1;1
GTPase Der;1;1;1;1;1;1;1;1;1
Phospholipase YtpA;1;1;1;1;1;1;1;1;1
C4-dicarboxylate transport transcriptional regulatory protein DctD;1;1;1;1;1;1;1;1;1
Harpin HrpZ;1;1;1;1;1;1;1;1;1
Type III secretion needle MxiH like protein;1;1;1;1;1;1;1;1;1
Yop proteins translocation lipoprotein J precursor;1;1;1;1;1;1;1;1;1
HrpE/YscL/FliH and V-type ATPase subunit E;1;1;1;1;1;1;1;1;1
HrpF protein;1;1;1;1;1;1;1;1;1
Outer membrane protein MxiD precursor;1;1;1;1;1;1;1;1;1
DspF/AvrF protein;1;1;1;1;1;1;1;1;1
Yop proteins translocation protein U;1;1;1;1;1;1;1;1;1
flagellar biosynthesis protein FliR;1;1;1;1;1;1;1;1;1
Flagellar biosynthetic protein FliQ;1;1;1;1;1;1;1;1;1
Flagellar biosynthetic protein FliP precursor;1;1;1;1;1;1;1;1;1
Type III secretion protein hrcQa;1;1;1;1;1;1;1;1;1
Type III secretion ATP synthase HrcN;1;1;1;1;1;1;1;1;1
Secretion system apparatus protein SsaV;1;1;1;1;1;1;1;1;1
HrpJ-like domain protein;1;1;1;1;1;1;1;1;1
ECF RNA polymerase sigma-E factor;1;1;1;1;1;1;1;1;1
Putative phosphinothricin acetyltransferase YwnH;1;1;1;1;1;1;1;1;1
Cytochrome P450 107B1;1;1;1;1;1;1;1;1;1
D-alanyl-D-alanine carboxypeptidase precursor;1;1;1;1;1;1;1;1;1
Membrane-bound lytic murein transglycosylase D precursor;1;1;1;1;1;1;1;1;1
Effector protein HopM1;1;1;1;1;1;1;1;1;1
Acyl-homoserine lactone acylase QuiP precursor;1;1;1;1;1;1;1;1;1
Carboxymuconolactone decarboxylase family protein;1;1;1;1;1;1;1;1;1
Inner membrane ABC transporter permease protein YdcV;1;1;1;1;1;1;1;1;1
Putrescine transport system permease protein PotH;1;1;1;1;1;1;1;1;1
Spermidine/putrescine import ATP-binding protein PotA;1;1;1;1;1;1;1;1;1
Putrescine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Putrescine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Omega-amino acid--pyruvate aminotransferase;1;1;1;1;1;1;1;1;1
Gamma-glutamylputrescine synthetase PuuA;1;1;1;1;1;1;1;1;1
Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD;1;1;1;1;1;1;1;1;1
Gamma-glutamylputrescine synthetase PuuA;1;1;1;1;1;1;1;1;1
Transcriptional regulator, TetR family;1;1;1;1;1;1;1;1;1
Molybdenum-pterin-binding protein 2;1;1;1;1;1;1;1;1;1
Aliphatic sulfonates import ATP-binding protein SsuB;1;1;1;1;1;1;1;1;1
Putative aliphatic sulfonates transport permease protein SsuC;1;1;1;1;1;1;1;1;1
Alkanesulfonate monooxygenase;1;1;1;1;1;1;1;1;1
Putative aliphatic sulfonates-binding protein precursor;1;1;1;1;1;1;1;1;1
FMN reductase (NADPH);1;1;1;1;1;1;1;1;1
Alkyl hydroperoxide reductase subunit C;1;1;1;1;1;1;1;1;1
Nucleotidyltransferase domain protein;1;1;1;1;0;1;1;1;1
Porin D precursor;1;1;1;1;1;1;1;1;1
Amino-acid acetyltransferase;1;1;1;1;1;1;1;1;1
Acetylornithine deacetylase;1;1;1;1;1;1;1;1;1
CYTH domain protein;1;1;1;1;1;1;1;1;1
Leucine-responsive regulatory protein;1;1;1;1;1;1;1;1;1
Type II secretion system protein E;1;1;1;1;1;1;1;1;1
Modulator of FtsH protease HflK;1;1;1;1;1;1;1;1;1
Inner membrane protein YbbJ;1;1;1;1;1;1;1;1;1
Glycine cleavage system H protein;1;1;1;1;1;1;1;1;1
Aminomethyltransferase;1;1;1;1;1;1;1;1;1
Sulfate transport system permease protein CysW;1;1;1;1;1;1;1;1;1
putative binding protein component of ABC iron transporter precursor;1;1;1;1;1;1;1;1;1
2-octaprenylphenol hydroxylase;1;1;1;1;1;1;1;1;1
2-octaprenyl-6-methoxyphenol hydroxylase;1;1;1;1;1;1;1;1;1
Xaa-Pro aminopeptidase;1;1;1;1;1;1;1;1;1
Cell division protein ZapA;1;1;1;1;1;1;1;1;1
putative 5-formyltetrahydrofolate cyclo-ligase;1;1;1;1;1;1;1;1;1
EVE domain protein;1;1;1;1;1;1;1;1;1
Multidrug resistance protein MdtN;1;1;1;1;1;1;1;1;1
putative ABC transporter ATP-binding protein YbhF;1;1;1;1;1;1;1;1;1
Inner membrane transport permease YhhJ;1;1;1;1;1;1;1;1;1
flagellar basal body-associated protein FliL-like protein;1;1;1;1;1;1;1;1;1
Quinone oxidoreductase 1;1;1;1;1;1;1;1;1;1
Glycerol-3-phosphate transporter;1;1;1;1;1;1;1;1;1
ChaC-like protein;1;1;1;1;1;1;1;1;1
CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3- dehydrase reductase;1;1;1;1;1;1;1;1;1
3-octaprenyl-4-hydroxybenzoate carboxy-lyase;1;1;1;1;1;1;1;1;1
O-acetyltransferase OatA;1;1;1;1;1;1;1;1;1
Thioredoxin-1;1;1;1;1;1;1;1;1;1
Pyruvate dehydrogenase complex repressor;1;1;1;1;1;1;1;1;1
ABC transporter arginine-binding protein 1 precursor;1;1;1;1;1;1;1;1;1
Inner membrane amino-acid ABC transporter permease protein YecS;1;1;1;1;1;1;1;1;1
Inner membrane amino-acid ABC transporter permease protein YecS;1;1;1;1;1;1;1;1;1
Glutamine transport ATP-binding protein GlnQ;1;1;1;1;1;1;1;1;1
Exopolyphosphatase;1;1;1;1;1;1;1;1;1
Polyphosphate kinase;1;1;1;1;1;1;1;1;1
Delta-aminolevulinic acid dehydratase;1;1;1;1;1;1;1;1;1
Inner membrane protein YohD;1;1;1;1;1;1;1;1;1
Fatty acid hydroxylase superfamily protein;1;1;1;1;1;1;1;1;1
Enhancing lycopene biosynthesis protein 2;1;1;1;1;1;1;1;1;1
Ferrous iron permease EfeU precursor;1;1;1;1;1;1;1;1;1
Homoserine/homoserine lactone efflux protein;1;1;1;1;1;1;1;1;1
Mechanosensitive ion channel;1;1;1;1;1;1;1;1;1
putative ABC transporter ATP-binding protein YheS;1;1;1;1;1;1;1;1;1
Outer membrane protein MIP precursor;1;1;1;1;1;1;1;1;1
Regulator of sigma D;1;1;1;1;1;1;1;1;1
disulfide bond formation protein B;1;1;1;1;1;1;1;1;1
putative protoheme IX biogenesis protein;1;1;1;1;1;1;1;1;1
Uroporphyrinogen-III synthase;1;1;1;1;1;1;1;1;1
Porphobilinogen deaminase;1;1;1;1;1;1;1;1;1
Sensory transduction protein LytR;1;1;1;1;1;1;1;1;1
Argininosuccinate lyase 1;1;1;1;1;1;1;1;1;1
Glutathione S-transferase;1;1;1;1;1;1;1;1;1
Phosphate-starvation-inducible E;1;1;1;1;1;1;1;1;1
Adenylate cyclase;1;1;1;1;1;1;1;1;1
Regulator of nucleoside diphosphate kinase;1;1;1;1;1;1;1;1;1
frataxin-like protein;1;1;1;1;1;1;1;1;1
Lipopeptide precursor;1;1;1;1;1;1;1;1;1
Diaminopimelate decarboxylase;1;1;1;1;1;1;1;1;1
Diaminopimelate epimerase;1;1;1;1;1;1;1;1;1
Tyrosine recombinase XerC;1;1;1;1;1;1;1;1;1
Flavin mononucleotide phosphatase YigB;1;1;1;1;1;1;1;1;1
Ammonia channel precursor;1;1;1;1;1;1;1;1;1
Nitrogen regulatory protein P-II 2;1;1;1;1;1;1;1;1;1
Membrane fusogenic activity;1;1;1;1;1;1;1;1;1
Sensor protein FixL;1;1;1;1;1;1;1;1;1
Competence protein ComM;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctC;1;1;1;1;1;1;1;1;1
Glycine cleavage system transcriptional activator;1;1;1;1;1;1;1;1;1
Multidrug resistance protein MdtK;1;1;1;1;1;1;1;1;1
Cyclic di-GMP phosphodiesterase Gmr;1;1;1;1;1;1;1;1;1
ATP-dependent DNA helicase Rep;1;1;1;1;1;1;1;1;1
Xanthine phosphoribosyltransferase;1;1;1;1;1;1;1;1;1
Cytochrome c5;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator PuuR;1;1;1;1;1;1;1;1;1
Alanine racemase;1;1;1;1;1;1;1;1;1
Enamine/imine deaminase;1;1;1;1;1;1;1;1;1
D-amino acid dehydrogenase small subunit;1;1;1;1;1;1;1;1;1
Leucine-responsive regulatory protein;1;1;1;1;1;1;1;1;1
Flagellin N-methylase;1;1;1;1;1;1;1;1;1
Gamma-glutamylputrescine oxidoreductase;1;1;1;1;1;1;1;1;1
putative HTH-type transcriptional regulator YjiR;1;1;1;1;1;1;1;1;1
Putative cardiolipin synthase YbhO;1;1;1;1;1;1;1;1;1
putative MFS-type transporter YcaD;1;1;1;1;1;1;1;1;1
Aldehyde dehydrogenase PuuC;1;1;1;1;1;1;1;1;1
50S ribosomal protein L33;1;1;1;1;1;1;1;1;1
50S ribosomal protein L28;1;1;1;1;1;1;1;1;1
Periplasmic dipeptide transport protein precursor;1;1;1;1;1;1;1;1;1
Coenzyme A biosynthesis bifunctional protein CoaBC;1;1;1;1;1;1;1;1;1
Deoxyuridine 5-triphosphate nucleotidohydrolase;1;1;1;1;1;1;1;1;1
Phosphomannomutase/phosphoglucomutase;1;1;1;1;1;1;1;1;1
Acetylglutamate kinase;1;1;1;1;1;1;1;1;1
Orotate phosphoribosyltransferase;1;1;1;1;1;1;1;1;1
Exodeoxyribonuclease;1;1;1;1;1;1;1;1;1
Ribonuclease PH;1;1;1;1;1;1;1;1;1
Guanylate kinase;1;1;1;1;1;1;1;1;1
DNA-directed RNA polymerase subunit omega;1;1;1;1;1;1;1;1;1
Bifunctional (p)ppGpp synthase/hydrolase SpoT;1;1;1;1;1;1;1;1;1
Enamine/imine deaminase;1;1;1;1;1;1;1;1;1
EamA-like transporter family protein;1;1;1;1;1;1;1;1;1
NAD dependent epimerase/dehydratase family protein;1;1;1;1;1;1;1;1;1
Biopolymer transport protein ExbB;1;1;1;1;1;1;1;1;1
Biopolymer transport protein ExbD;1;1;1;1;1;1;1;1;1
transport protein TonB;1;1;1;1;1;1;1;1;1
Hydrogen peroxide-inducible genes activator;1;1;1;1;1;1;1;1;1
ATP-dependent DNA helicase RecG;1;1;1;1;1;1;1;1;1
HDOD domain protein;1;1;1;1;1;1;1;1;1
putative outer membrane lipoprotein;1;1;1;1;1;1;1;1;1
Formylglycine-generating sulfatase enzyme;1;1;1;1;1;1;1;1;1
Lipoprotein-releasing system ATP-binding protein LolD;1;1;1;1;1;1;1;1;1
Serine/threonine-protein kinase PknB;1;1;1;1;1;1;1;1;1
Serine/threonine phosphatase stp;1;1;1;1;1;1;1;1;1
Intracellular multiplication and human macrophage-killing;1;1;1;1;1;1;1;1;1
Motility protein B;1;1;1;1;1;1;1;1;1
Type VI secretion lipoprotein;1;1;1;1;1;1;1;1;1
FHA domain protein;1;1;1;1;1;1;1;1;1
Gene 25-like lysozyme;1;1;1;1;1;1;1;1;1
Chaperone protein ClpB;1;1;1;1;1;1;1;1;1
Phage-related baseplate assembly protein;1;1;1;1;1;1;1;1;1
putative deoxyribonuclease RhsB;1;1;1;1;1;1;1;1;1
putative deoxyribonuclease RhsA;1;1;1;1;1;1;1;1;1
Acetylpolyamine aminohydrolase;1;1;1;1;1;1;1;1;1
Putrescine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulatory protein GabR;1;1;1;1;1;1;1;1;1
Protease synthase and sporulation protein PAI 2;1;1;1;1;1;1;1;1;1
Acetyltransferase (GNAT) family protein;1;1;1;1;1;1;1;1;1
Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase;1;1;1;1;1;1;1;1;1
Cystine-binding periplasmic protein precursor;1;1;1;1;1;1;1;1;1
Arginine transport system permease protein ArtQ;1;1;1;1;1;1;1;1;1
Extracellular serine protease precursor;1;1;1;1;1;1;1;1;1
2-oxoglutarate carboxylase large subunit;1;1;1;1;1;1;1;1;1
2-oxoglutarate carboxylase small subunit;1;1;1;1;1;1;1;1;1
HTH-type transcriptional activator CmpR;1;1;1;1;1;1;1;1;1
putative HTH-type transcriptional regulator YbbH;1;1;1;1;1;1;1;1;1
Cyclic di-GMP phosphodiesterase Gmr;1;1;1;1;1;1;1;1;1
DNA helicase II;1;1;1;1;1;1;1;1;1
Tim44-like domain protein;1;1;1;1;1;1;1;1;1
Inner membrane protein YbaL;1;1;1;1;1;1;1;1;1
putative acyl-CoA thioester hydrolase;1;1;1;1;1;1;1;1;1
Pyridoxamine kinase;1;1;1;1;1;1;1;1;1
Putative metal chaperone YciC;1;1;1;1;1;1;1;1;1
Putative metal chaperone YciC;1;1;1;1;1;1;1;1;1
GTP cyclohydrolase FolE2;1;1;1;1;1;1;1;1;1
High-affinity zinc uptake system ATP-binding protein ZnuC;1;1;1;1;1;1;1;1;1
High-affinity zinc uptake system membrane protein ZnuB;1;1;1;1;1;1;1;1;1
putative periplasmic iron-binding protein precursor;1;1;1;1;1;1;1;1;1
Major cardiolipin synthase ClsA;1;1;1;1;1;1;1;1;1
Cyclopropane-fatty-acyl-phospholipid synthase;1;1;1;1;1;1;1;1;1
Zinc-transporting ATPase;1;1;1;1;1;1;1;1;1
FtsH protease regulator HflK;1;1;1;1;1;1;1;1;1
Modulator of FtsH protease HflC;1;1;1;1;1;1;1;1;1
SPFH domain / Band 7 family protein;1;1;1;1;1;1;1;1;1
Dihydrolipoyl dehydrogenase 3;1;1;1;1;1;1;1;1;1
putative S-adenosylmethionine-dependent methyltransferase;1;1;1;1;1;1;1;1;1
O-acetyltransferase OatA;1;1;1;1;1;1;1;1;1
putative S-adenosylmethionine-dependent methyltransferase;1;1;1;1;1;1;1;1;1
Glycosyl transferases group 1;1;1;1;1;1;1;1;1;1
GDP-6-deoxy-D-mannose reductase;1;1;1;1;1;1;1;1;1
GDP-mannose 4,6-dehydratase;1;1;1;1;1;1;1;1;1
Alginate biosynthesis protein AlgA;1;1;1;1;1;1;1;1;1
Teichoic acid translocation permease protein TagG;1;1;1;1;1;1;1;1;1
Teichoic acids export ATP-binding protein TagH;1;1;1;1;1;1;1;1;1
GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase;1;1;1;1;1;1;1;1;1
Glycogen synthase;1;1;1;1;1;1;1;1;1
GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase;1;1;1;1;1;1;1;1;1
Maleylpyruvate isomerase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator DmlR;1;1;1;1;1;1;1;1;1
Lipoteichoic acid synthase 1;1;1;1;1;1;1;1;1;1
Aspartate-semialdehyde dehydrogenase;1;1;1;1;1;1;1;1;1
HTH-type transcriptional regulator CdhR;1;1;1;1;1;1;1;1;1
GDP-mannose pyrophosphatase NudK;1;1;1;1;1;1;1;1;1
Methyl-accepting chemotaxis protein PctB;1;1;1;1;1;1;1;1;1
NH(3)-dependent NAD(+) synthetase;1;1;1;1;1;1;1;1;1
Nicotinate phosphoribosyltransferase 2;1;1;1;1;1;1;1;1;1
nicotinamidase/pyrazinamidase;1;1;1;1;1;1;1;1;1
Nicotinate-nucleotide adenylyltransferase;1;1;1;1;1;1;1;1;1
putative DNA-binding transcriptional regulator;1;1;1;1;1;1;1;1;1
anaerobic benzoate catabolism transcriptional regulator;1;1;1;1;1;1;1;1;1
Glutamine--fructose-6-phosphate aminotransferase [isomerizing];1;1;1;1;1;1;1;1;1
Glucitol operon repressor;1;1;1;1;1;1;1;1;1
Bifunctional protein GlmU;1;1;1;1;1;1;1;1;1
ATP synthase epsilon chain;1;1;1;1;1;1;1;1;1
ATP synthase subunit beta;1;1;1;1;1;1;1;1;1
ATP synthase gamma chain;1;1;1;1;1;1;1;1;1
ATP synthase subunit alpha;1;1;1;1;1;1;1;1;1
ATP synthase subunit delta;1;1;1;1;1;1;1;1;1
ATP synthase subunit b;1;1;1;1;1;1;1;1;1
ATP synthase subunit c;1;1;1;1;1;1;1;1;1
ATP synthase subunit a;1;1;1;1;1;1;1;1;1
F0F1 ATP synthase subunit I;1;1;1;1;1;1;1;1;1
putative chromosome-partitioning protein ParB;1;1;1;1;1;1;1;1;1
Chromosome partitioning protein ParA;1;1;1;1;1;1;1;1;1
Ribosomal RNA small subunit methyltransferase G;1;1;1;1;1;1;1;1;1
tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG;1;1;1;1;1;1;1;1;1
tRNA modification GTPase MnmE;1;1;1;1;1;1;1;1;1
Membrane protein insertase YidC;1;1;1;1;1;1;1;1;1
Lipoteichoic acid synthase 2;0;1;0;1;0;0;1;0;0
D12 class N6 adenine-specific DNA methyltransferase;0;1;0;0;0;0;0;0;0
N-glycosylase/DNA lyase;0;1;0;0;0;0;0;0;0
Nitroreductase family protein;0;1;0;0;0;0;0;0;0
7-cyano-7-deazaguanine synthase;0;1;0;0;0;0;0;0;0
5-dehydro-2-deoxygluconokinase;0;1;0;0;0;0;0;0;0
KAP family P-loop domain protein;0;1;0;0;0;0;0;0;0
D-alanyl-D-alanine carboxypeptidase precursor;0;1;0;0;0;0;0;0;0
T5orf172 domain protein;0;1;0;0;0;0;0;0;0
5-methylthioadenosine/S-adenosylhomocysteine nucleosidase;0;1;0;0;0;0;0;0;0
Filamentous hemagglutinin;0;1;0;0;1;0;0;0;1
Hemolysin precursor;0;1;0;0;0;0;0;0;0
Group II intron-encoded protein LtrA;0;1;0;0;0;0;0;0;0
helix-turn-helix protein;0;1;0;1;0;1;0;0;0
putative xylitol oxidase;0;1;0;1;0;1;0;0;0
Multidrug efflux pump subunit AcrB;0;1;0;0;0;0;0;0;0
Multidrug resistance protein MexA precursor;0;1;0;0;0;0;0;0;0
Transcriptional regulator, TetR family;0;1;0;0;0;0;0;0;0
Inner membrane protein YjiY;0;1;0;0;0;0;0;0;0
Linear gramicidin synthase subunit B;0;1;0;0;0;0;0;0;0
Chaperone protein DnaJ;0;1;0;1;0;1;0;0;1
Chaperone protein HscC;0;1;0;1;0;1;0;0;1
Cyclic di-GMP phosphodiesterase response regulator RpfG;0;1;0;1;1;1;1;0;1
Histidine protein kinase DivJ;0;1;0;1;1;1;1;0;1
Oxygen sensor histidine kinase NreB;0;1;0;1;1;1;1;0;1
Response regulator UvrY;0;1;0;1;1;1;1;0;1
Chemoreceptor glutamine deamidase CheD;0;1;0;1;1;1;1;0;1
Chemotaxis protein methyltransferase;0;1;0;1;1;1;1;0;1
Chemotaxis protein CheW;0;1;0;1;1;1;1;0;1
Chemotaxis protein CheW;0;1;0;1;1;1;1;0;1
Methyl-accepting chemotaxis protein III;0;1;0;1;1;1;1;0;1
Chemotaxis protein CheA;0;1;0;1;1;1;1;0;1
STAS domain protein;0;1;0;1;1;1;1;0;1
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP;0;1;0;1;1;1;1;0;1
Methyl-accepting chemotaxis protein 4;0;1;0;1;1;1;1;0;1
Cyclic di-GMP phosphodiesterase response regulator RpfG;0;1;0;1;1;1;1;0;1
putative acetyltransferase;0;1;0;1;1;1;1;0;1
Alpha-aminoadipate--LysW ligase LysX;0;1;0;1;1;1;1;0;1
Magnesium transport protein CorA;0;1;0;1;1;1;1;0;1
potassium transport protein Kup;0;1;0;1;1;1;1;0;1
6-aminohexanoate-dimer hydrolase;0;1;0;0;1;1;0;0;1
Oligopeptide transport ATP-binding protein OppF;0;1;0;0;1;1;0;0;1
putative D,D-dipeptide transport ATP-binding protein DdpD;0;1;0;0;1;1;0;0;1
putative D,D-dipeptide transport system permease protein DdpC;0;1;0;0;1;1;0;0;1
putative D,D-dipeptide transport system permease protein DdpB;0;1;0;0;1;1;0;0;1
putative D,D-dipeptide-binding periplasmic protein DdpA precursor;0;1;0;0;1;1;0;0;1
Helix-turn-helix domain protein;0;1;0;0;1;1;0;0;1
HTH-type transcriptional regulator GltR;0;1;0;0;1;1;0;0;1
Succinate semialdehyde dehydrogenase [NAD(P)+] Sad;0;1;0;0;1;1;0;0;1
Putative cyclase;0;1;0;0;1;1;0;0;1
1,3-propanediol dehydrogenase;0;1;0;0;1;1;0;0;1
Transcriptional regulatory protein QseF;0;1;0;0;1;1;0;0;1
cytosine permease;0;1;0;0;1;1;0;0;1
Isochorismatase;0;1;0;0;1;1;0;0;1
Taurine catabolism dioxygenase TauD, TfdA family;0;1;0;0;0;0;0;0;0
UvrABC system protein A;0;1;0;0;0;0;0;0;0
bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase;0;1;0;0;0;0;0;0;0
Rhamnosyl O-methyltransferase precursor;0;1;0;0;0;0;0;0;0
RES domain protein;0;1;1;0;1;1;1;0;0
Chaperone protein ClpB;0;1;1;0;0;0;0;0;0
Pyruvate formate-lyase 1-activating enzyme;0;1;1;0;0;0;0;0;0
Serine/threonine-protein kinase PrkC;0;1;1;0;0;0;0;0;0
Tetratricopeptide repeat protein;0;1;1;0;0;0;0;1;0
Oligogalacturonate-specific porin KdgM precursor;0;1;0;1;1;1;1;0;1
Oligopeptide transport ATP-binding protein OppF;0;1;0;1;1;1;1;0;1
Oligopeptide transport ATP-binding protein OppD;0;1;0;1;1;1;1;0;1
putative D,D-dipeptide transport system permease protein DdpC;0;1;0;1;1;1;1;0;1
Dipeptide transport system permease protein DppB;0;1;0;1;1;1;1;0;1
putative D,D-dipeptide-binding periplasmic protein DdpA precursor;0;1;0;1;1;1;1;0;1
L-Ala-D/L-Glu epimerase;0;1;0;1;1;1;1;0;1
CAAX amino terminal protease self- immunity;0;1;0;0;0;1;0;0;1
Mu-like prophage protein Com;0;1;0;1;1;0;1;0;0
Leukotoxin;0;1;0;0;0;0;1;1;1
Serine/threonine-protein kinase PrkC;0;1;0;0;0;0;0;0;0
HTH-type transcriptional regulator LutR;0;1;0;1;1;1;1;0;1
HTH-type transcriptional regulator LutR;0;1;0;1;1;1;1;0;1
NADP oxidoreductase coenzyme F420-dependent;0;1;0;0;0;0;0;0;1
HTH-type transcriptional regulator DmlR;0;1;0;0;0;0;0;0;1
Helix-turn-helix domain protein;0;1;0;0;0;0;0;0;1
Monoterpene epsilon-lactone hydrolase;0;1;0;0;1;0;1;0;1
HTH-type transcriptional regulator DmlR;0;1;0;0;1;0;1;0;1
Linear gramicidin synthase subunit D;0;1;0;0;0;0;0;0;0
molybdenum cofactor biosynthesis protein A;0;1;0;0;0;1;0;0;1
Anaerobic sulfatase-maturating enzyme;0;1;0;0;0;1;0;0;1
Tetratricopeptide repeat protein;0;1;0;0;0;1;0;0;0
Ribonuclease P protein component;0;1;1;1;1;1;1;1;1
SMI1 / KNR4 family protein;0;1;0;1;1;1;1;0;1
Linear gramicidin synthase subunit D;0;1;0;0;0;1;1;0;0
Integrase core domain protein;0;1;0;0;0;0;0;0;0
Putative transposon Tn552 DNA-invertase bin3;0;1;0;0;0;0;0;0;1
Tyrosine recombinase XerC;0;1;0;0;0;0;1;0;0
Leucine efflux protein;0;1;0;0;0;0;0;0;0
Right origin-binding protein;0;1;0;1;1;1;1;0;1
Reverse transcriptase (RNA-dependent DNA polymerase);0;1;0;0;1;0;1;0;0
Siphovirus Gp157;0;1;0;0;0;0;0;0;0
Peptidase S24-like protein;0;1;0;0;0;0;0;0;0
Cro;0;1;0;0;0;0;1;1;0
Phage antirepressor protein KilAC domain protein;0;1;0;0;0;0;0;0;0
Replication protein P;0;1;0;0;0;0;0;0;0
NinB protein;0;1;0;0;1;0;0;0;0
Phage Mu protein F like protein;0;1;0;0;0;0;0;0;0
Bacterial Ig-like domain (group 2);0;1;0;0;0;0;0;0;0
DNA translocase FtsK;0;1;0;0;0;0;0;0;0
Prophage tail length tape measure protein;0;1;0;0;0;0;0;0;0
short chain dehydrogenase;0;1;0;0;0;1;0;0;1
Nickel uptake substrate-specific transmembrane region;0;1;0;0;0;0;1;0;1
High-affinity zinc uptake system binding-protein ZnuA precursor;0;1;0;0;0;0;1;0;1
High-affinity zinc uptake system membrane protein ZnuB;0;1;0;0;0;0;1;0;1
Zinc import ATP-binding protein ZnuC;0;1;0;0;0;0;1;0;1
High-affinity zinc uptake system binding-protein ZnuA precursor;0;1;0;0;0;0;1;0;1
